pl_name,hostname,sy_pnum,discoverymethod,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov
11 Com b,11 Com,1,Radial Velocity,0,,1.210000,,,5434.70000,17.10000,Msini
11 Com b,11 Com,1,Radial Velocity,0,326.03000000,1.290000,,,6165.60000,19.40000,Msini
11 Com b,11 Com,1,Radial Velocity,0,323.21000000,1.178000,,,4914.89849,15.46400,Msini
11 UMi b,11 UMi,1,Radial Velocity,0,516.21997000,1.530000,,,4684.81420,14.74000,Msini
11 UMi b,11 UMi,1,Radial Velocity,0,,1.510000,,,3432.40000,10.80000,Msini
11 UMi b,11 UMi,1,Radial Velocity,0,516.22000000,1.540000,,,3337.07000,10.50000,Msini
14 And b,14 And,1,Radial Velocity,0,186.76000000,0.775000,,,1131.15130,3.55900,Msini
14 And b,14 And,1,Radial Velocity,0,,0.680000,,,1017.00000,3.20000,Msini
14 And b,14 And,1,Radial Velocity,0,185.84000000,0.830000,,,1525.50000,4.80000,Msini
14 Her b,14 Her,2,Radial Velocity,0,1773.40000000,2.770000,,,1474.67000,4.64000,Msini
14 Her b,14 Her,2,Radial Velocity,0,1766.00000000,2.864000,,,1581.13800,4.97500,Msini
14 Her b,14 Her,2,Radial Velocity,0,1765.03890000,2.774000,,,2559.47216,8.05300,Mass
14 Her b,14 Her,2,Radial Velocity,0,1773.40002000,2.930000,,,1481.08780,4.66000,Msini
14 Her b,14 Her,2,Radial Velocity,0,1796.40000000,2.800000,,,1506.45000,4.74000,Msini
14 Her b,14 Her,2,Radial Velocity,0,1766.41000000,2.830000,,,1541.46777,4.85000,Msini
14 Her b,14 Her,2,Radial Velocity,0,1724.00000000,2.820000,,,1554.12000,4.89000,Msini
14 Her b,14 Her,2,Radial Velocity,0,,2.730000,,,1440.66300,4.53300,Msini
16 Cyg B b,16 Cyg B,1,Radial Velocity,0,799.45000000,1.676000,,,556.83537,1.75200,Msini
16 Cyg B b,16 Cyg B,1,Radial Velocity,0,798.50000000,1.681000,,,533.95440,1.68000,Msini
16 Cyg B b,16 Cyg B,1,Radial Velocity,0,800.80000000,1.600000,,,476.70000,1.50000,Msini
16 Cyg B b,16 Cyg B,1,Radial Velocity,0,799.50000000,1.680000,,,533.93000,1.68000,Msini
